column_name,dtype,unit,min,max,mean,std,n_unique,missing_count,inf_count,is_constant,is_near_constant,duplicate_of,conversion_relation,selected_for_baseline,role,exclusion_reason
frame,int64,count,0.0,26488.0,5805.897065997073,5579.433189407894,26489,0,0,False,False,,,False,metadata,
sim_time,float64,s,0.0166666666666666,443.1416666665879,97.24854086199952,93.36316411469242,97476,0,0,False,False,,,False,metadata,
/position[0]/longitude-deg[0],float64,deg,-22.61235267288132,-22.518814572227775,-22.59947761351606,0.01785703405410786,123753,0,0,False,False,,,False,derived_feature_source,
/position[0]/latitude-deg[0],float64,deg,63.937623185353154,63.99644680542782,63.9625124693467,0.014935921174157454,125031,0,0,False,False,,,False,derived_feature_source,
/position[0]/altitude-ft[0],float64,ft,128.6966654606855,1300.5276167658433,482.46280616504674,295.2611274286818,125047,0,0,False,False,,,True,neural_input,
/position[0]/altitude-agl-ft[0],float64,ft,3.0727984339196155,1300.28302166577,384.949660601492,328.302270452265,125047,0,0,False,False,,,True,neural_input,
/orientation[0]/roll-deg[0],float64,deg,-30.97850799560547,43.890769958496094,0.24585005173944785,5.270850548119641,124909,0,0,False,False,,,True,neural_input,
/orientation[0]/pitch-deg[0],float64,deg,-12.622493743896484,21.800273895263672,-0.9886249770659222,4.369884657641475,124822,0,0,False,False,,,True,neural_input,
/orientation[0]/heading-deg[0],float64,deg,0.0001310517254751,359.9997863769531,219.9354190586222,159.51406625926964,121632,0,0,False,False,,,True,neural_input,
/orientation[0]/alpha-deg[0],float64,deg,-179.88575744628906,179.90097045898438,-0.5598648212973558,22.254528734660813,124730,0,0,False,False,,,True,neural_input,
/orientation[0]/side-slip-rad[0],float64,rad,-1.5641323328018188,1.5450412034988403,-0.053029922027091,0.22658466187724663,124963,0,0,False,False,,,True,neural_input,
/orientation[0]/beta-deg[0],float64,deg,0.0,0.0,0.0,0.0,1,0,0,True,False,,,False,excluded,constant_or_not_applicable_to_c172p
/orientation[0]/roll-rate-degps[0],float64,deg/s,-182.52593994140625,69.51319885253906,-0.011448310379142153,3.643271887356741,124998,0,0,False,False,,,True,neural_input,
/orientation[0]/pitch-rate-degps[0],float64,deg/s,-56.93708801269531,102.4234848022461,0.03315059666486209,1.9448453758233186,124997,0,0,False,False,,,True,neural_input,
/orientation[0]/yaw-rate-degps[0],float64,deg/s,-41.9412727355957,177.4272003173828,0.2258187930327372,5.175008673640328,124987,0,0,False,False,,,True,neural_input,
/velocities[0]/mach[0],float64,,0.0023509454913437,0.155909076,0.09546960384482997,0.027496608639139324,123925,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/velocities[0]/airspeed-kt[0],float64,kt,1.5521408319473269,101.6468887,62.580608957060306,17.915429036441274,123438,0,0,False,False,,,True,neural_input,
/velocities[0]/vertical-speed-fps[0],float64,ft/s,-26.929288864135746,41.41062927246094,-4.390544856513608,6.948535302954053,124877,0,0,False,False,,,True,neural_input,
/velocities[0]/speed-north-fps[0],float64,ft/s,-126.08019256591795,169.5801239,90.70776827878113,51.42265559055949,124381,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/velocities[0]/speed-east-fps[0],float64,ft/s,-134.8832550048828,147.50889587402344,-0.5337188987781954,40.92469841179989,124988,0,0,False,False,,,False,excluded,not_in_v1_feature_schema_sections14_15
/velocities[0]/speed-down-fps[0],float64,ft/s,-41.41062927246094,26.929288864135746,4.390544856513608,6.948535302954053,124877,0,0,False,False,/velocities[0]/vertical-speed-fps[0],speed_down_fps = -vertical_speed_fps,False,excluded,duplicate_unit_or_exact
/velocities[0]/vBody-fps[0],float64,ft/s,-55.30772018432617,50.61650848388672,6.935764511445123,11.343154493956911,124933,0,0,False,False,,,True,neural_input,
