column_name,role,exclusion_reason,duplicate_of
frame,metadata,,
sim_time,metadata,,
/position[0]/longitude-deg[0],derived_feature_source,,
/position[0]/latitude-deg[0],derived_feature_source,,
/orientation[0]/beta-deg[0],excluded,constant_or_not_applicable_to_c172p,
/velocities[0]/mach[0],excluded,not_in_v1_feature_schema_sections14_15,
/velocities[0]/speed-north-fps[0],excluded,not_in_v1_feature_schema_sections14_15,
/velocities[0]/speed-east-fps[0],excluded,not_in_v1_feature_schema_sections14_15,
/velocities[0]/speed-down-fps[0],excluded,duplicate_unit_or_exact,/velocities[0]/vertical-speed-fps[0]
/velocities[0]/uBody-fps[0],excluded,not_in_v1_feature_schema_sections14_15,
/velocities[0]/wBody-fps[0],excluded,not_in_v1_feature_schema_sections14_15,
/accelerations[0]/pilot[0]/x-accel-fps_sec[0],excluded,not_in_v1_feature_schema_sections14_15,
/accelerations[0]/pilot[0]/y-accel-fps_sec[0],excluded,not_in_v1_feature_schema_sections14_15,
/accelerations[0]/pilot[0]/z-accel-fps_sec[0],excluded,not_in_v1_feature_schema_sections14_15,
/instrumentation[0]/slip-skid-ball[0]/indicated-slip-skid[0],qa_only,,
/position[0]/ground-elev-m[0],qa_only,,
/controls[0]/flight[0]/aileron-trim[0],qa_only,,
/controls[0]/flight[0]/elevator-trim[0],derived_feature_source,,
/controls[0]/flight[0]/rudder-trim[0],qa_only,,
/controls[0]/flight[0]/speedbrake[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/flight[0]/spoilers[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/gear[0]/brake-left[0],excluded,forbidden_input_family_section10,
/controls[0]/gear[0]/brake-right[0],excluded,forbidden_input_family_section10,
/controls[0]/gear[0]/copilot-brake-left[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/gear[0]/copilot-brake-right[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/gear[0]/brake-parking[0],excluded,constant_or_not_applicable_to_c172p,
/environment[0]/wind-speed-kt[0],qa_only,,
/environment[0]/wind-from-heading-deg[0],qa_only,,
/environment[0]/turbulence[0]/magnitude-norm[0],qa_only,,
/environment[0]/temperature-degc[0],qa_only,,
/environment[0]/pressure-sea-level-inhg[0],qa_only,,
/environment[0]/magnetic-variation-deg[0],qa_only,,
/environment[0]/visibility-m[0],qa_only,,
/surface-positions[0]/elevator-pos-norm[0],qa_only,,
/surface-positions[0]/flap-pos-norm[0],qa_only,,
/surface-positions[0]/left-aileron-pos-norm[0],qa_only,,
/surface-positions[0]/right-aileron-pos-norm[0],excluded,duplicate_unit_or_exact,/surface-positions[0]/left-aileron-pos-norm[0]
/surface-positions[0]/rudder-pos-norm[0],qa_only,,
/sim[0]/model[0]/c172p[0]/cockpit[0]/yoke-aileron[0],qa_only,,
/sim[0]/model[0]/c172p[0]/cockpit[0]/yoke-elevator[0],qa_only,,
/sim[0]/model[0]/c172p[0]/cockpit[0]/pedals-rudder[0],qa_only,,
/sim[0]/model[0]/c172p[0]/cockpit[0]/flaps-lever[0],qa_only,,
/sim[0]/model[0]/c172p[0]/cockpit[0]/parking-lever[0],excluded,constant_or_not_applicable_to_c172p,
/gear[0]/gear[0]/steering-norm[0],excluded,forbidden_input_family_section10,
/gear[0]/gear[1]/steering-norm[0],excluded,constant_or_not_applicable_to_c172p,
/gear[0]/gear[2]/steering-norm[0],excluded,constant_or_not_applicable_to_c172p,
/gear[0]/gear[0]/compression-norm[0],flight_manager_only,,
/gear[0]/gear[1]/compression-norm[0],flight_manager_only,,
/gear[0]/gear[2]/compression-norm[0],flight_manager_only,,
/gear[0]/gear[0]/rollspeed-ms[0],flight_manager_only,,
/gear[0]/gear[1]/rollspeed-ms[0],flight_manager_only,,
/gear[0]/gear[2]/rollspeed-ms[0],flight_manager_only,,
/consumables[0]/fuel[0]/tank[0]/level-gal_us[0],excluded,forbidden_input_family_section10,
/consumables[0]/fuel[0]/tank[1]/level-gal_us[0],excluded,duplicate_unit_or_exact,/consumables[0]/fuel[0]/tank[0]/level-gal_us[0]
/consumables[0]/fuel[0]/tank[2]/level-gal_us[0],excluded,constant_or_not_applicable_to_c172p,
/controls[0]/engines[0]/engine[1]/throttle[0],excluded,duplicate_unit_or_exact,/controls[0]/engines[0]/engine[0]/throttle[0]
/controls[0]/engines[0]/current-engine[0]/mixture[0],excluded,not_in_v1_feature_schema_sections14_15,
/engines[0]/active-engine[0]/rpm[0],excluded,forbidden_input_family_section10,
/engines[0]/active-engine[0]/mp-osi[0],excluded,forbidden_input_family_section10,
/engines[0]/active-engine[0]/egt-norm[0],excluded,forbidden_input_family_section10,
/engines[0]/active-engine[0]/oil-temperature-degf[0],excluded,forbidden_input_family_section10,
/engines[0]/active-engine[0]/oil-pressure-psi[0],excluded,forbidden_input_family_section10,
/fdm[0]/jsbsim[0]/fcs[0]/steer-pos-deg[0],excluded,not_in_v1_feature_schema_sections14_15,
/gear[0]/gear[19]/compression-norm[0],excluded,forbidden_input_family_section10,
/gear[0]/gear[19]/position-norm[0],excluded,constant_or_not_applicable_to_c172p,
