fold_id,network,best_epoch,best_val_loss,n_train_rows,n_val_rows,aileron_command__mse,aileron_command__rmse,aileron_command__mae,aileron_command__r2,aileron_command__pearson_r,rudder_command__mse,rudder_command__rmse,rudder_command__mae,rudder_command__r2,rudder_command__pearson_r
0,lateral,30,0.0027366343419998884,12419,1993,0.0012235782342031598,0.0349796824157238,0.01736345887184143,0.702069878578186,0.8671185445547422,0.004249690566211939,0.0651896521449089,0.04484889656305313,-0.06301867961883545,0.3893883226582788
1,lateral,14,0.0013108017155900598,13383,1029,0.0002579296415206045,0.01606018841266632,0.010425465181469917,0.49926888942718506,0.7415505234878199,0.0023636736441403627,0.04861762747168541,0.031297437846660614,0.2601048946380615,0.5868031622169886
2,lateral,1,0.002332475269213319,13414,998,0.00039810247835703194,0.019952505826950073,0.013295580632984638,0.5083376169204712,0.7435492468491623,0.0042668478563427925,0.06532111018896103,0.0399741604924202,0.027001500129699707,0.26870485739708416
3,lateral,53,0.007619055919349194,13330,1082,0.0014136605896055698,0.03759867697954178,0.02099578082561493,0.39784538745880127,0.6622558793839256,0.01382444892078638,0.11757741868495941,0.07652631402015686,0.4585905075073242,0.6775234480209927
4,lateral,2,0.016796091571450233,13153,1259,0.0077622621320188046,0.08810370415449142,0.050718240439891815,0.1938164234161377,0.5330008617574562,0.025829920545220375,0.16071689128875732,0.11773138493299484,0.2684776186943054,0.6520849263570753
5,lateral,14,0.029458165168762207,13106,1306,0.021106045693159103,0.145279198884964,0.059634894132614136,0.03405040502548218,0.36839981755088114,0.03781028836965561,0.19444867968559265,0.12317607551813126,0.2525285482406616,0.5330922292139116
6,lateral,12,0.006915176287293434,13538,874,0.001414778525941074,0.03761354088783264,0.021738436073064804,-0.20956194400787354,0.5315473002083156,0.012415574863553047,0.11142519861459732,0.0631093680858612,0.28093308210372925,0.5425369224115896
7,lateral,14,0.010513858869671822,13380,1032,0.003042758908122778,0.05516120791435242,0.02998148463666439,0.6540206670761108,0.8096717603811968,0.017984960228204727,0.1341080218553543,0.0919794887304306,0.457510769367218,0.6954783708712925
8,lateral,15,0.006167130544781685,13323,1089,0.002859432017430663,0.05347365885972977,0.03141547366976738,0.6738294363021851,0.8268122578735309,0.009474828839302063,0.0973387360572815,0.07253463566303253,0.46881425380706787,0.7306565744744359
9,lateral,0,0.0038260542787611485,13424,988,0.0035638033878058195,0.05969759821891785,0.027623670175671577,-19.19866371154785,-0.0579894683660618,0.004088305402547121,0.06393985450267792,0.04222213849425316,-0.32329559326171875,0.24453377691059489
10,lateral,14,0.0020881721284240484,13568,844,0.00041503336979076266,0.02037236839532852,0.012766830623149872,0.5828242897987366,0.7675709108413703,0.0037613108288496733,0.06132952496409416,0.03409767895936966,0.17475998401641846,0.43968110941283517
11,lateral,2,0.0020436483900994062,13518,894,0.000753475702367723,0.027449510991573334,0.01929309591650963,0.6182651519775391,0.8077972312977896,0.0033338211942464113,0.0577392503619194,0.0407831072807312,0.20829886198043823,0.5314631172792723
12,lateral,43,0.004203765653073788,13388,1024,0.00027501507429406047,0.016583578661084175,0.011986060999333858,0.5432403087615967,0.7670494221877475,0.008132516406476498,0.09018046408891678,0.05577690899372101,0.4128650426864624,0.6553134589768104
