,mean,std
best_epoch,12.384615384615385,9.517864444808174
best_val_loss,0.010271151585934253,0.00727764407130416
n_train_rows,13303.384615384615,297.5011312195688
n_val_rows,1108.6153846153845,297.5011312195688
elevator_effective__mse,0.002013823415976591,0.0031556206532338364
elevator_effective__rmse,0.03754236434514706,0.025588287489749895
elevator_effective__mae,0.022627112742226858,0.012916310002103193
elevator_effective__r2,0.5113623325641339,0.37547184528475475
elevator_effective__pearson_r,0.7719545487506185,0.20786701378186387
throttle_command__mse,0.018528480369311113,0.014321393066962463
throttle_command__rmse,0.12956537019747955,0.04343274061949408
throttle_command__mae,0.10391914443327831,0.041582310959451495
throttle_command__r2,0.5962918033966651,0.2439431503825753
throttle_command__pearson_r,0.8259748775133444,0.12133831358987904
